Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-02-01,2197.0035,2206.6211,2140.164,2170.0652,2155.9335,2496945,0.0000,1.0
2022-02-02,2197.3682,2197.3682,2166.0085,2172.8456,2158.6958,337670,0.0000,1.0
2022-02-03,2173.3014,2189.3003,2140.4831,2144.7677,2130.8008,136394,0.0000,1.0
2022-02-04,2141.3947,2141.8961,2116.781,2125.7149,2111.872,330454,0.0000,1.0
2022-02-07,2131.3669,2148.5054,2101.329,2112.8154,2099.0566,1643527,0.0000,1.0
2022-02-08,2126.8088,2151.377,2105.8415,2147.4114,2133.4273,1601702,0.0000,1.0
2022-02-09,2157.895,2175.6716,2150.1463,2173.2558,2159.1034,1356126,0.0000,1.0
2022-02-10,2185.5171,2185.5171,2155.9806,2168.7433,2154.6203,226054,0.0000,1.0
2022-02-11,2164.1852,2173.3014,2136.791,2166.7833,2152.673,192243,0.0000,1.0
2022-02-14,2096.7254,2145.9528,2096.7254,2132.0962,2118.2118,310248,0.0000,1.0
2022-02-15,2144.1296,2209.7662,2129.4069,2203.7039,2189.3532,389799,0.0000,1.0
2022-02-16,2213.0024,2217.1047,2184.2408,2199.1458,2184.8248,241833,0.0000,1.0
2022-02-17,2204.2965,2237.4794,2197.4593,2228.819,2214.3048,248666,0.0000,1.0
2022-02-18,2219.794,2238.938,2207.0313,2209.9029,2195.5119,242341,0.0000,1.0
2022-02-21,2201.4705,2221.4349,2174.213,2188.0241,2173.7755,248274,0.0000,1.0
2022-02-22,2144.1296,2183.9674,2139.3436,2177.1302,2162.9525,388107,0.0000,1.0
2022-02-23,2186.6111,2193.4026,2158.6243,2164.0029,2149.9107,187278,0.0000,1.0
2022-02-24,2109.488,2133.0534,2044.3072,2056.2494,2042.859,550535,0.0000,1.0
2022-02-25,2074.4818,2103.1067,2074.4818,2082.0939,2068.5351,234948,0.0000,1.0
2022-02-28,2048.4551,2157.8039,2046.5863,2150.6021,2136.5972,361763,0.0000,1.0
2022-03-02,2141.4859,2188.2976,2125.0767,2186.4287,2172.1905,298733,0.0000,1.0
2022-03-03,2197.9151,2201.0602,2160.5387,2168.014,2153.8957,232245,0.0000,1.0
2022-03-04,2146.8644,2155.7071,2115.4591,2119.8349,2106.0304,206310,0.0000,1.0
2022-03-07,2093.0789,2107.528,2026.2116,2041.9826,2028.685,577322,0.0000,1.0
2022-03-08,2010.1215,2047.3156,1988.2426,2039.0198,2025.7415,665930,0.0000,1.0
2022-03-09,2050.2327,2157.5304,2036.5129,2145.7705,2131.797,430958,0.0000,1.0
2022-03-10,2201.5616,2201.5616,2151.4225,2181.7339,2167.5262,481296,0.0000,1.0
2022-03-11,2162.362,2197.3682,2162.362,2186.5199,2172.2811,292287,0.0000,1.0
2022-03-14,2182.4176,2210.0853,2165.0968,2204.7979,2190.44,316063,0.0000,1.0
2022-03-15,2216.8768,2216.8768,2134.2841,2154.5676,2140.5369,412984,0.0000,1.0
2022-03-16,2176.9023,2194.3142,2166.4187,2190.8501,2176.5831,276207,0.0000,1.0
2022-03-17,2222.5289,2276.2233,2188.9357,2260.4978,2245.7773,286443,0.0000,1.0
2022-03-21,2235.2915,2264.1899,2226.1754,2249.1026,2234.4562,207916,0.0000,1.0
2022-03-22,2245.9575,2310.956,2237.1148,2307.4007,2292.3747,304284,0.0000,1.0
2022-03-23,2302.9337,2338.3046,2302.9337,2315.2406,2300.1635,200221,0.0000,1.0
2022-03-24,2292.7236,2355.1695,2290.0343,2350.0645,2334.7606,327758,0.0000,1.0
2022-03-25,2350.0645,2383.8856,2349.244,2367.2029,2351.7875,195991,0.0000,1.0
2022-03-28,2380.2391,2396.785,2358.269,2389.9478,2374.3843,342191,0.0000,1.0
2022-03-29,2403.9412,2403.9412,2377.6865,2390.4036,2374.8371,128043,0.0000,1.0
2022-03-30,2404.7617,2450.4338,2386.3925,2436.7595,2420.8911,154596,0.0000,1.0
2022-03-31,2436.7595,2436.7595,2396.5571,2401.1608,2385.5242,188426,0.0000,1.0
2022-04-01,2407.8612,2429.2842,2390.7227,2419.849,2404.0907,84826,0.0000,1.0
2022-04-04,2422.1736,2438.5827,2410.5504,2427.6889,2411.8796,137978,0.0000,1.0
2022-04-05,2420.3504,2432.9763,2389.492,2393.3664,2377.7806,112402,0.0000,1.0
2022-04-06,2359.8644,2401.2519,2359.8188,2387.8511,2372.3012,146948,0.0000,1.0
2022-04-07,2369.7555,2373.174,2340.1278,2344.458,2329.1907,244738,0.0000,1.0
2022-04-08,2336.4813,2393.0018,2336.1167,2385.4809,2369.9464,265594,0.0000,1.0
2022-04-11,2369.2996,2404.8528,2354.3947,2379.1451,2363.6519,209888,0.0000,1.0
2022-04-12,2359.2718,2372.3992,2330.1,2333.8832,2318.6848,213157,0.0000,1.0
2022-04-13,2349.244,2363.7388,2320.9838,2326.8638,2311.711,156923,0.0000,1.0
2022-04-18,2306.6258,2332.8804,2299.6519,2319.2973,2304.1938,215288,0.0000,1.0
2022-04-19,2328.3679,2431.2898,2325.6331,2405.263,2389.5998,545067,0.0000,1.0
2022-04-20,2421.0341,2492.0492,2415.7923,2478.147,2462.0091,458162,0.0000,1.0
2022-04-21,2515.1588,2542.3251,2492.0492,2536.2628,2519.7464,280821,0.0000,1.0
2022-04-22,2520.6741,2553.1278,2501.3478,2514.6574,2498.2817,314673,0.0000,1.0
2022-04-25,2497.3366,2514.5663,2428.9196,2456.6784,2440.6803,208296,0.0000,1.0
2022-04-26,2468.6662,2548.5697,2468.6662,2530.3829,2513.9048,240951,0.0000,1.0
2022-04-27,2515.7969,2577.2401,2513.3356,2532.3884,2515.8973,389360,0.0000,1.0
2022-04-28,2566.2095,2598.1162,2540.046,2570.0383,2553.302,264655,0.0000,1.0
2022-04-29,2602.6743,2602.6743,2532.0693,2544.1483,2527.5806,202927,0.0000,1.0
2022-05-02,2511.9681,2557.0933,2511.9681,2534.8042,2518.2973,244590,0.0000,1.0
2022-05-04,2538.8609,2538.9977,2439.312,2455.1286,2439.1406,3251053,0.0000,1.0
2022-05-05,2480.5173,2488.4028,2399.3831,2407.3598,2391.6828,355466,0.0000,1.0
2022-05-06,2407.3598,2424.4982,2365.2885,2389.492,2373.9314,249708,0.0000,1.0
2022-05-09,2347.4208,2367.6587,2285.5218,2294.6836,2279.7404,394528,0.0000,1.0
2022-05-10,2278.1377,2302.0677,2241.6729,2254.6635,2239.9809,228368,0.0000,1.0
2022-05-11,2259.6318,2265.4206,2207.8518,2233.2404,2218.6973,269992,0.0000,1.0
2022-05-12,2205.2081,2224.3521,2160.5387,2188.7534,2174.5,375949,0.0000,1.0
2022-05-13,2217.0592,2258.9937,2202.5188,2213.4583,2199.044,290185,0.0000,1.0
2022-05-16,2217.0592,2261.5006,2202.8835,2212.8657,2198.4553,207222,0.0000,1.0
2022-05-17,2227.087,2315.8787,2219.794,2307.036,2292.0124,336675,0.0000,1.0
2022-05-18,2314.6025,2342.8627,2286.6157,2314.4201,2299.3484,276653,0.0000,1.0
2022-05-19,2251.7007,2289.0771,2248.4645,2260.0876,2245.3697,728658,0.0000,1.0
2022-05-20,2292.7236,2409.4109,2281.7842,2390.4036,2374.8371,277207,0.0000,1.0
2022-05-23,2397.5599,2419.2108,2363.7843,2375.6354,2360.1651,278346,0.0000,1.0
2022-05-24,2392.0901,2404.6705,2368.388,2384.7972,2369.2672,147965,0.0000,1.0
2022-05-25,2399.7022,2421.0796,2371.8978,2380.3758,2364.8746,248030,0.0000,1.0
2022-05-26,2386.6204,2401.1152,2322.5336,2358.7704,2343.4099,183889,0.0000,1.0
2022-05-27,2367.4308,2375.2708,2314.9215,2347.6031,2332.3153,199303,0.0000,1.0
2022-05-30,2388.2613,2436.7595,2365.5164,2428.327,2412.5135,263592,0.0000,1.0
2022-05-31,2412.1458,2442.0013,2384.6604,2401.1152,2385.4789,590084,0.0000,1.0
2022-06-01,2399.7022,2420.3048,2384.8883,2399.5654,2383.9392,147783,0.0000,1.0
2022-06-02,2411.2342,2490.5451,2402.7105,2483.7079,2467.5338,299786,0.0000,1.0
2022-06-03,2504.1738,2567.4402,2497.838,2533.847,2517.3464,636698,0.0000,1.0
2022-06-06,2534.8498,2565.07,2508.3672,2522.3606,2505.9348,275733,0.0000,1.0
2022-06-07,2519.7169,2544.3306,2510.6007,2527.4657,2511.0066,154819,0.0000,1.0
2022-06-08,2529.927,2536.2172,2475.5945,2483.5256,2467.3527,186942,0.0000,1.0
